symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
"ARWDARROW ELECTRONICS, INC.",120.9,8.967B,18.52%,540.926K,512.257K,475.79K,529.005K
"WESDWESTERN MIDSTREAM PARTNERS, LP",21.69,8.959B,11.40%,1.067M,1.244M,1.436M,1.669M
"CBSHDCOMMERCE BANCSHARES, INC.",76.43,8.945B,−3.16%,438.041K,412.395K,404.168K,414.253K
CAEDCAE INC.,30.45,8.933B,−0.43%,233.243K,264.752K,343.449K,392.72K
BBDBLACKBERRY LIMITED,15.77,8.929B,61.74%,154.197M,56.676M,34.733M,35.704M
OSKDOSHKOSH CORPORATION (HOLDING COMPANY),130.01,8.921B,15.51%,550.331K,548.072K,530.992K,710.366K
"HIIDHUNTINGTON INGALLS INDUSTRIES, INC.",221.28,8.903B,15.79%,330.874K,275.535K,307.25K,346.852K
PPSFEDPAYSAFE LIMITED,12.3,8.902B,−16.04%,7.871M,7.012M,6.746M,6.899M
"MTZDMASTEC, INC.",119.51,8.881B,27.26%,824.217K,863.346K,825.56K,781.719K
HNPDHUANENG POWER INTL DR,14.82,8.873B,8.97%,24.465K,24.823K,32.096K,41.09K
RUNDSUNRUN INC.,43.51,8.873B,−8.50%,5.034M,6.402M,6.079M,6.04M
SCIDSERVICE CORPORATION INTERNATIONAL,52.65,8.853B,10.05%,721.431K,963.26K,962.989K,974.664K
AAPADAPA CORPORATION,23.42,8.852B,1.08%,7.227M,7.252M,7.335M,8.058M
RLDRALPH LAUREN CORPORATION,120.95,8.847B,−4.43%,950.914K,1.095M,1.021M,1.048M
GLOBDGLOBANT S.A.,213.7,8.833B,11.08%,314.294K,238.809K,199.313K,203.732K
"TLRYDTILRAY, INC. - CLASS 2",19.72,8.804B,−12.04%,39.262M,29.58M,24.659M,33.561M
BFAMDBRIGHT HORIZONS FAMILY SOLUTIONS INC.,144.17,8.799B,−11.23%,585.121K,661.388K,479.331K,454.129K
WWFGDWEST FRASER TIMBER CO. LTD,72.09,8.765B,10.09%,483.222K,466.343K,379.758K,291.051K
SSKLZDSKILLZ INC.,22.08,8.754B,−9.69%,16.372M,20.39M,22.78M,17.981M
SEEDSEALED AIR CORPORATION,57.51,8.741B,26.09%,1.106M,1.353M,1.258M,1.261M
KKCDKINGSOFT CLOUD HOLDINGS LIMITED DR,39.81,8.741B,−15.69%,1.057M,1.259M,1.532M,1.56M
USFDDUS FOODS HOLDING CORP.,39.37,8.737B,2.66%,2.092M,2.177M,1.992M,2.055M
"MRTXDMIRATI THERAPEUTICS, INC.",169.49,8.719B,−11.41%,384.459K,615.508K,515.69K,488.386K
DNLIDDENALI THERAPEUTICS INC.,71.84,8.706B,26.86%,803.785K,553.699K,507.993K,547.924K
DKSDDICK'S SPORTING GOODS INC,97.34,8.689B,26.94%,3.104M,1.972M,1.767M,1.8M
"GWREDGUIDEWIRE SOFTWARE, INC.",103.72,8.685B,6.05%,581.279K,663.227K,611.805K,671.092K
"BLDRDBUILDERS FIRSTSOURCE, INC.",41.93,8.685B,−5.41%,2.351M,2.582M,2.289M,2.157M
"MANHDMANHATTAN ASSOCIATES, INC.",136.09,8.658B,20.15%,350.189K,405.893K,355.434K,379.429K
"RGADREINSURANCE GROUP OF AMERICA, INCORPORATED",127.13,8.643B,−0.38%,321.084K,406.531K,409.144K,434.136K
JBLDJABIL INC.,57.98,8.627B,32.80%,753.697K,762.845K,923.479K,909.142K
CCJDCAMECO CORPORATION,21.59,8.585B,39.92%,4.848M,5.13M,5.481M,6.091M
BBMBLDBUMBLE INC.,45.34,8.572B,−25.06%,2.145M,2.238M,1.835M,—
GDGENPACT LIMITED,45.75,8.57B,10.37%,1.106M,2.795M,1.83M,1.764M
"FCNCADFIRST CITIZENS BANCSHARES, INC.",885.75,8.564B,10.24%,44.386K,51.382K,58.144K,56.123K
ADTDADT INC.,11.12,8.511B,46.12%,3.288M,4.312M,3.872M,4.149M
KSSDKOHL'S CORPORATION,54.34,8.49B,−4.50%,3.995M,3.986M,3.472M,3.621M
VSTDVISTRA CORP.,17.61,8.489B,−6.73%,6.022M,6.562M,6.049M,6.495M
"NRGDNRG ENERGY, INC.",34.51,8.446B,−17.10%,3.405M,3.121M,3.407M,3.533M
NFEDNEW FORTRESS ENERGY INC.,40.85,8.444B,4.74%,490.522K,457.629K,540.931K,496.391K
"LAZRDLUMINAR TECHNOLOGIES, INC.",24.73,8.404B,13.73%,7.054M,5.439M,5.932M,6.024M
AMEDDAMEDISYS INC,258,8.404B,5.55%,162.856K,191.1K,196.118K,194.016K
"ARWRDARROWHEAD PHARMACEUTICALS, INC.",80.68,8.398B,24.93%,817.239K,739.48K,714.127K,766.105K
TTFIIDTFI INTERNATIONAL INC.,90,8.391B,25.07%,400.449K,401.708K,315.835K,306.005K
"PAADPLAINS ALL AMERICAN PIPELINE, L.P.",11.62,8.39B,20.17%,3.984M,4.596M,4.304M,4.739M
"CCRCTDCRICUT, INC.",37.61,8.357B,—,869.835K,760.937K,—,—
"SPCEDVIRGIN GALACTIC HOLDINGS, INC.",34.69,8.35B,30.76%,45.53M,27.972M,19.384M,19.797M
"SYNHDSYNEOS HEALTH, INC.",80.71,8.339B,14.01%,1.546M,1.268M,1.077M,1.064M
CPRIDCAPRI HOLDINGS LIMITED,54.93,8.312B,4.85%,2.528M,1.97M,1.975M,2.163M
GNTXDGENTEX CORPORATION,34.32,8.29B,−3.65%,1.284M,1.213M,1.334M,1.386M
OOVVDOVINTIV INC. (DE),31.6,8.249B,18.66%,2.909M,2.584M,2.679M,2.863M
TTIXTDTELUS INTERNATIONAL (CDA) INC. SUBORDINATE VOTING SHARES,30.88,8.199B,6.70%,97.14K,121.179K,103.24K,—
MLCODMELCO RESORTS & ENTERTAINMENT LIMITED DR,16.91,8.172B,−20.35%,2.941M,2.808M,2.359M,2.617M
"ALKDALASKA AIR GROUP, INC.",65.56,8.161B,−3.57%,1.374M,1.311M,1.517M,1.656M
EHCDENCOMPASS HEALTH CORPORATION,81.7,8.133B,0.60%,572.981K,567.495K,597.255K,620.215K
TTSPDTUSIMPLE HOLDINGS INC.,38.83,8.117B,—,366.654K,659.522K,—,—
"EEFTDEURONET WORLDWIDE, INC.",153.3,8.094B,−4.69%,215.189K,312.49K,348.049K,345.717K
"YETIDYETI HOLDINGS, INC.",92.62,8.08B,36.05%,1.349M,1.439M,1.377M,1.383M
HDHYATT HOTELS CORPORATION,79.24,8.065B,−9.40%,441.774K,434.387K,475.244K,569.651K
PBCTDPEOPLE'S,18.84,8.057B,0.48%,2.371M,3.9M,4.239M,5.134M
"BSMXDBANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER MEXICO DR",6.08,8.033B,28.54%,710.292K,410.63K,569.308K,476.786K
"FFOURDSHIFT4 PAYMENTS, INC.",97.75,8.013B,31.46%,537.353K,936.415K,981.63K,938.541K
ITTDITT INC.,92.94,8.002B,6.69%,337.371K,500.943K,534.482K,511.983K
"RGLDDROYAL GOLD, INC.",121.95,8.001B,17.26%,301.438K,354.95K,405.565K,441.12K
"OMFDONEMAIN HOLDINGS, INC.",59.41,7.989B,11.38%,1.005M,1.439M,1.118M,1.358M
"FSLRDFIRST SOLAR, INC.",75.01,7.974B,4.98%,1.052M,2.035M,2.146M,2.292M
"WMSDADVANCED DRAINAGE SYSTEMS, INC.",111.3,7.968B,7.58%,444.115K,420.27K,467.486K,484.967K
"CASYDCASEYS GENERAL STORES, INC.",215.29,7.954B,6.47%,241.904K,195.041K,183.16K,205.155K
ORIDOLD REPUBLIC INTERNATIONAL CORPORATION,26.09,7.951B,22.49%,1.471M,1.74M,1.896M,1.946M
"DCIDDONALDSON COMPANY, INC.",62.73,7.912B,4.34%,478.996K,533.163K,497.396K,484.004K
"WWDDWOODWARD, INC.",125.29,7.899B,8.72%,251.519K,290.117K,270.687K,271.307K
JEFDJEFFERIES FINANCIAL GROUP INC.,31.97,7.896B,0.95%,1.485M,1.707M,2.02M,2.336M
PVHDPVH CORP.,110.66,7.886B,3.66%,1.033M,895.394K,1.003M,1.002M
"VOYADVOYA FINANCIAL, INC.",65.01,7.881B,1.67%,1.06M,967.961K,1.031M,1.169M
SMARDSMARTSHEET INC.,63.23,7.879B,5.75%,1.515M,1.269M,1.213M,1.204M
UTHRDUNITED THERAPEUTICS CORPORATION,175.89,7.879B,9.87%,437.274K,337.811K,396.863K,364.591K
"CHDNDCHURCHILL DOWNS, INCORPORATED",202.37,7.795B,−11.75%,324.999K,287.343K,274.611K,246.286K
CHEDCHEMED CORP,486.26,7.756B,12.86%,62.613K,86.947K,81.737K,90.094K
"ANDAUTONATION, INC.",96.31,7.751B,7.12%,807.984K,840.336K,803.839K,800.05K
OLNDOLIN CORPORATION,48.67,7.749B,55.35%,1.233M,1.376M,1.54M,1.496M
KNXDKNIGHT-SWIFT TRANSPORTATION HOLDINGS INC.,46.78,7.743B,3.22%,1.318M,1.303M,1.542M,1.64M
"TOLDTOLL BROTHERS, INC.",62.37,7.695B,13.01%,1.738M,1.377M,1.472M,1.592M
XLRNDACCELERON PHARMA INC.,126.69,7.69B,0.38%,297.32K,319.477K,346.267K,353.663K
CCNXCDCONCENTRIX CORPORATION,147.64,7.685B,11.78%,219.634K,155.442K,201.66K,190.902K
"TPXDTEMPUR SEALY INTERNATIONAL, INC.",38.96,7.673B,5.01%,1.81M,1.893M,1.981M,2.18M
"LECODLINCOLN ELECTRIC HOLDINGS, INC.",128.87,7.673B,5.78%,159.667K,210.22K,209.393K,226.255K
"CFRDCULLEN/FROST BANKERS, INC.",120.7,7.67B,5.60%,194.76K,308.26K,358.167K,398.175K
PIIDPOLARIS INC.,124.94,7.652B,−6.91%,1.048M,829.98K,782.03K,818.549K
AERDAERCAP HOLDINGS N.V.,58.11,7.597B,1.01%,1.056M,1.192M,1.271M,1.456M
"FRPTDFRESHPET, INC.",175.54,7.595B,28.47%,277.919K,354.614K,321.556K,355.024K
"IIAADIAA, INC.",55.97,7.542B,−0.50%,995.824K,1.061M,1.002M,950.677K
"LPLDLG DISPLAY CO, LTD AMERICAN DEPOSITORY SHARES DR",10.75,7.516B,12.80%,687.761K,640.475K,618.873K,699.9K
WFDWOORI FINANCIAL GROUP INC. DR,31.21,7.504B,18.67%,11.356K,11.768K,13.519K,15.312K
HHESMDHESS MIDSTREAM LP,26.33,7.492B,17.54%,251.618K,274.602K,251.446K,233.878K
AXTADAXALTA COATING SYSTEMS LTD.,32.1,7.478B,8.67%,5.083M,3.985M,3.395M,3.264M
CIBDBANCOLOMBIA S.A. DR,30.7,7.468B,−7.00%,268.272K,279.08K,232.368K,239.918K
BCDBRUNSWICK CORPORATION,95.57,7.445B,−0.18%,760.052K,745.439K,687.017K,698.124K
RNRDRENAISSANCERE HOLDINGS LTD.,150.01,7.415B,−9.57%,763.561K,655.04K,514.707K,487.591K
VACDMARRIOTT VACATIONS WORLDWIDE CORPORATION,173.47,7.406B,−5.94%,386.153K,381.207K,378.08K,467.207K
SNVDSYNOVUS FINANCIAL CORP.,49.82,7.403B,6.14%,766.061K,790.002K,904.622K,899.758K
"BRKSDBROOKS AUTOMATION, INC.",99.37,7.383B,33.42%,593.1K,797.115K,798.939K,743.15K
"FFINDFIRST FINANCIAL BANKSHARES, INC.",51.8,7.37B,7.54%,343.379K,428.891K,508.034K,486.329K
"POSTDPOST HOLDINGS, INC.",115.6,7.356B,10.29%,238.185K,331.183K,378.046K,397.213K
HRCDHILL-ROM HOLDINGS INC,110.43,7.34B,5.78%,344.219K,366.289K,365.536K,412.834K
FFVRRDFIVERR INTERNATIONAL LTD.,204.33,7.324B,4.03%,598.196K,703.26K,666.335K,925.617K
"SITEDSITEONE LANDSCAPE SUPPLY, INC.",164.51,7.309B,2.55%,356.488K,396.655K,323.64K,320.936K
TXDTERNIUM S.A. TERNIUM S.A. DR,36.27,7.287B,6.33%,713.954K,1.046M,888.327K,779.865K
"LEGDLEGGETT & PLATT, INCORPORATED",54.67,7.284B,12.10%,598.067K,781.986K,858.778K,922.093K
FSVDFIRSTSERVICE CORPORATION,166,7.276B,11.07%,40.511K,55.538K,48.093K,49.184K
THCDTENET HEALTHCARE CORPORATION,68.09,7.271B,22.68%,723.315K,1.011M,1.053M,1.043M
CCHNGDCHANGE HEALTHCARE INC.,23.66,7.259B,5.25%,1.752M,1.728M,2.109M,2.65M
IIVIDII-VI INCORPORATED,69.15,7.253B,−3.52%,1.224M,1.998M,2.347M,2.152M
"HOGDHARLEY-DAVIDSON, INC.",47.17,7.248B,28.04%,1.678M,2.022M,2.346M,2.495M
XECDCIMAREX ENERGY CO,70.47,7.246B,3.42%,3.266M,1.781M,1.396M,1.373M
"SKXDSKECHERS U.S.A., INC.",46.71,7.246B,24.76%,1.02M,1.376M,1.747M,1.643M
"FFATEDFATE THERAPEUTICS, INC.",77,7.241B,−2.73%,921.646K,1.019M,994.958K,981.907K
SGMSDSCIENTIFIC GAMES CORP,75.29,7.234B,62.97%,936.035K,1.022M,900.995K,806.416K
"MATDMATTEL, INC.",20.69,7.216B,0.98%,2.054M,2.293M,2.404M,2.632M
KTDKT CORPORATION DR,14.91,7.192B,30.79%,766.319K,687.975K,803.068K,1.017M
"PLANDANAPLAN, INC.",49.56,7.173B,−8.83%,3.68M,2.649M,2.888M,2.721M
SSHCDSOTERA HEALTH COMPANY,25.21,7.131B,−1.14%,1.007M,1.098M,1.597M,1.31M
TCFDTCF FINANCIAL CORPORATION,46.71,7.13B,−4.28%,1.108M,914.287K,912.465K,924.128K
"PBDPROSPERITY BANCSHARES, INC.",76.71,7.129B,−1.65%,398.134K,410.798K,380.812K,405.424K
AABCLDABCELLERA BIOLOGICS INC.,26.23,7.106B,−1.98%,1.062M,906.304K,1.123M,1.029M
"GILDGILDAN ACTIVEWEAR, INC.",35.74,7.092B,18.62%,415.211K,456.352K,391.182K,470.068K
"WHDWYNDHAM HOTELS & RESORTS, INC.",75.84,7.083B,12.37%,583.934K,663.001K,676.551K,762.638K
NYTDNEW YORK TIMES COMPANY (THE),42.38,7.075B,−14.25%,1.53M,2.128M,1.922M,1.814M
ANGIDANGI INC.,14.02,7.072B,−6.60%,1.135M,1.492M,1.577M,1.893M
BYDDBOYD GAMING CORPORATION,63,7.061B,3.33%,1.357M,1.222M,1.07M,1.145M
AADALCOA CORPORATION,37.74,7.047B,32.56%,5.505M,6.49M,6.618M,6.786M
FAFDFIRST AMERICAN CORPORATION (NEW),64.04,7.028B,21.98%,567.796K,606.388K,735.673K,814.387K
ASNDDASCENDIS PHARMA A/S DR,131.24,7.017B,−7.09%,238.966K,220.373K,228.871K,220.982K
"SSQSPDSQUARESPACE, INC.",54.74,7.016B,—,580.863K,—,—,—
"EMEDEMCOR GROUP, INC.",128.2,6.994B,19.75%,260.1K,269.777K,265.767K,261.234K
BBEPCDBROOKFIELD RENEWABLE CORPORATION,40.57,6.986B,−1.65%,557.567K,664.56K,739.834K,993.227K
"GMEDDGLOBUS MEDICAL, INC.",69.81,6.983B,13.53%,353.174K,471.373K,466.739K,473.112K
"PNFPDPINNACLE FINANCIAL PARTNERS, INC.",91.46,6.96B,2.61%,274.527K,306.789K,384.106K,391.888K
TVDGRUPO TELEVISA S.A. DR,14.71,6.954B,93.55%,1.848M,1.63M,2.855M,2.399M
NKLADNIKOLA CORPORATION,17.65,6.951B,20.73%,14.566M,13.213M,14.503M,13.313M
"NTNXDNUTANIX, INC.",34.22,6.942B,33.05%,2.467M,2.261M,2.098M,1.985M
LSCCDLATTICE SEMICONDUCTOR CORPORATION,50.8,6.937B,28.64%,981.067K,1.308M,1.799M,1.624M
XDUNITED STATES STEEL CORPORATION,25.64,6.914B,24.35%,19.721M,24.567M,23.498M,22.807M
"EXELDEXELIXIS, INC.",22.06,6.913B,−0.18%,1.663M,1.622M,1.651M,1.764M
COTYDCOTY INC.,9.01,6.903B,15.36%,4.64M,6.389M,6.985M,10.194M
"SRCLDSTERICYCLE, INC.",75.2,6.9B,9.38%,338.118K,395.524K,388.043K,378.978K
"VVMEODVIMEO, INC.",44.96,6.899B,—,4.028M,—,—,—
JHGDJANUS HENDERSON GROUP PLC,40.01,6.896B,32.97%,826.825K,1.049M,989.188K,1.312M
SFDSTIFEL FINANCIAL CORPORATION,65.52,6.886B,1.17%,564.477K,608.667K,580.212K,615.842K
"TXRHDTEXAS ROADHOUSE, INC.",98.69,6.883B,3.62%,975.322K,906.618K,792.258K,837.251K
"HQYDHEALTHEQUITY, INC.",82.31,6.863B,5.72%,498.273K,440.444K,575.79K,713.334K
CCCIVDCHURCHILL CAPITAL CORP IV,26.5,6.857B,19.96%,15.032M,13.929M,17.144M,31.742M
PFGCDPERFORMANCE FOOD GROUP COMPANY,51.21,6.852B,−8.44%,1.406M,1.508M,1.196M,1.04M
OGEDOGE ENERGY CORP,34.23,6.852B,6.74%,4.105M,2.698M,1.958M,1.74M
"CROXDCROCS, INC.",104.87,6.841B,39.01%,2.68M,2.189M,1.617M,1.418M
HBIDHANESBRANDS INC.,19.46,6.794B,−6.80%,2.956M,4.977M,4.467M,5.046M
NNOVDNOV INC.,17.39,6.793B,2.11%,3.697M,4.676M,4.531M,4.742M
"MDUDMDU RESOURCES GROUP, INC.",33.72,6.784B,8.91%,665.182K,820.768K,1.064M,1.034M
NNVSTDENVISTA HOLDINGS CORPORATION,42.11,6.77B,9.46%,1.488M,1.788M,2.46M,2.176M
"AMGDAFFILIATED MANAGERS GROUP, INC.",162.08,6.748B,16.65%,300.214K,340.446K,341.816K,413.158K
PAASDPAN AMERICAN SILVER CORP.,32.08,6.746B,7.90%,2.16M,2.684M,2.371M,2.943M
YYSGDYATSEN HOLDING LIMITED DR,10.35,6.746B,−35.07%,3.036M,3.132M,3.261M,3.143M
COGDCABOT OIL & GAS CORPORATION,16.86,6.738B,−11.59%,19.471M,11.055M,8.45M,7.701M
"CHHDCHOICE HOTELS INTERNATIONAL, INC.",121.01,6.723B,14.30%,312.286K,277.346K,249.225K,254.188K
MMNSODMINISO GROUP HOLDING LIMITED DR,21.64,6.722B,−5.63%,1.314M,737.888K,754.572K,801.323K
SONDSONOCO PRODUCTS COMPANY,66.7,6.711B,5.29%,311.346K,355.937K,399.312K,418.968K
APPNDAPPIAN CORPORATION,94.7,6.71B,−30.95%,783.283K,988.293K,852.752K,971.616K
"AYIDACUITY BRANDS, INC.",187.05,6.679B,42.37%,380.387K,412.982K,507.497K,449.435K
WWSCDWILLSCOT MOBILE MINI HOLDINGS CORP.,29.02,6.675B,15.02%,1.728M,1.583M,1.503M,1.63M
COLMDCOLUMBIA SPORTSWEAR COMPANY,99.94,6.641B,−3.34%,443.361K,421.512K,410.551K,410.256K
MANDMANPOWERGROUP,121.75,6.639B,20.43%,283.989K,345.392K,384.199K,406.62K
STAADSTAAR SURGICAL COMPANY,141.36,6.629B,78.91%,452.522K,517.203K,533.861K,672.797K
AVALDGRUPO AVAL ACCIONES Y VALORES S.A. DR,5.9,6.615B,−5.75%,59.799K,111.636K,105.465K,108.434K
"APPSDDIGITAL TURBINE, INC.",71.39,6.613B,15.29%,3.398M,3.004M,3.281M,3.766M
TKRDTIMKEN COMPANY (THE),86.92,6.604B,5.46%,481.651K,505.114K,524.828K,604.314K
SNXDSYNNEX CORPORATION,127,6.585B,34.76%,195.959K,245.512K,333.459K,312.35K
"BPOPDPOPULAR, INC.",81.68,6.583B,13.93%,572.52K,647.761K,598.418K,593.98K
ELYDCALLAWAY GOLF COMPANY,35.58,6.571B,20.53%,2.374M,2.425M,1.971M,2.045M
MSADMSA SAFETY INCORPORATED,167.73,6.57B,2.41%,75.819K,102.414K,110.919K,117.043K
CACCDCREDIT ACCEPTANCE CORPORATION,392.49,6.559B,−7.81%,141.13K,108.946K,97.233K,114.325K
HLFDHERBALIFE NUTRITION LTD.,55.29,6.526B,16.97%,914.528K,1.091M,952.555K,1.095M
"TTEKDTETRA TECH, INC.",120.28,6.514B,−4.59%,265.044K,292.677K,279.609K,306.792K
SLMDSLM CORPORATION,20.13,6.499B,24.34%,2.553M,3.452M,4.75M,5.613M
BLDDTOPBUILD CORP.,196.38,6.493B,1.89%,315.822K,333.954K,313.491K,303.518K
"PRIDPRIMERICA, INC.",164.51,6.488B,11.78%,101.224K,109.143K,128.025K,138.305K
"THODTHOR INDUSTRIES, INC.",117.07,6.482B,−9.99%,815.092K,571.924K,565.439K,634.516K
DOOODBRP INC.,76.53,6.48B,5.78%,124.706K,125.037K,131.949K,114.458K
UNMDUNUM GROUP,31.72,6.479B,7.74%,1.592M,1.787M,2.093M,2.304M
"PLNTDPLANET FITNESS, INC.",74.81,6.477B,−12.74%,781.284K,964.331K,1.039M,1.232M
"COHRDCOHERENT, INC.",263.85,6.473B,10.49%,252.201K,287.33K,393.202K,424.168K
"BJDBJ'S WHOLESALE CLUB HOLDINGS, INC.",47.16,6.467B,16.04%,1.202M,1.733M,1.653M,1.864M
AAZEKDTHE AZEK COMPANY INC.,41.76,6.462B,1.31%,2.212M,1.286M,1.027M,1.015M
RAREDULTRAGENYX PHARMACEUTICAL INC.,95.49,6.444B,−16.97%,461.491K,459.908K,438.126K,430.567K
INGRDINGREDION INCORPORATED,96.18,6.442B,4.66%,306.072K,370.074K,374.414K,441.449K
"PAGDPENSKE AUTOMOTIVE GROUP, INC.",79.47,6.423B,−0.74%,276.019K,259.181K,257.296K,263.809K
SSBDSOUTH STATE CORPORATION,90.3,6.418B,3.48%,250.331K,287.991K,320.569K,330.126K
RBADRITCHIE BROS. AUCTIONEERS INCORPORATED,58.1,6.407B,10.60%,484.891K,507.583K,557.46K,682.779K
"TTMXDTERMINIX GLOBAL HOLDINGS, INC.",49.6,6.376B,6.05%,669.796K,628.469K,597.548K,631.923K
BOKFDBOK FINANCIAL CORPORATION,91.41,6.358B,−3.70%,130.464K,142.133K,182.945K,191.832K
LPXDLOUISIANA-PACIFIC CORPORATION,62.18,6.358B,25.11%,1.694M,2.272M,2.01M,1.829M
EXPDEAGLE MATERIALS INC,149.98,6.356B,17.62%,407.819K,444.279K,396.918K,389.842K
"SRPTDSAREPTA THERAPEUTICS, INC.",79.59,6.349B,−4.35%,1.435M,1.406M,1.179M,1.218M
RREYNDREYNOLDS CONSUMER PRODUCTS INC.,30.25,6.345B,6.03%,413.347K,577.692K,526.308K,549.774K
"CDKDCDK GLOBAL, INC.",51.96,6.327B,−0.63%,489.162K,493.474K,536.355K,610.284K
"FLDFOOT LOCKER, INC.",61.24,6.325B,7.67%,1.255M,1.511M,1.418M,1.644M
"LFUSDLITTELFUSE, INC.",257.17,6.315B,0.84%,59.559K,68.088K,85.914K,92.717K
"AASANDASANA, INC.",38.59,6.308B,30.06%,1.725M,1.227M,1.302M,1.27M
LHCGDLHC GROUP,198.93,6.299B,12.49%,150.777K,160.19K,163.594K,173.599K
FOXFDFOX FACTORY HOLDING CORP.,149.26,6.264B,18.35%,249.701K,319.227K,286.451K,282.824K
PRGODPERRIGO COMPANY PLC,46.74,6.242B,11.76%,1.263M,1.19M,1.059M,1.291M
"NXSTDNEXSTAR MEDIA GROUP, INC.",145.99,6.24B,−3.66%,309.161K,382.16K,429.876K,464.99K
"CARDAVIS BUDGET GROUP, INC.",89.23,6.234B,37.55%,935.989K,1.228M,1.347M,1.442M
NCRDNCR CORPORATION,47.61,6.232B,28.99%,893.125K,1.269M,1.244M,1.19M
UPWKDUPWORK INC.,49.32,6.221B,16.96%,1.264M,1.53M,1.418M,1.831M
RDFNDREDFIN CORPORATION,59.66,6.207B,0.64%,1.313M,1.88M,1.667M,1.778M
HUNDHUNTSMAN CORPORATION,27.97,6.201B,1.82%,2.305M,2.163M,2.191M,2.105M
"LSTRDLANDSTAR SYSTEM, INC.",161.29,6.195B,−0.44%,291.846K,265.512K,266.21K,280.035K
"VVIRDVIR BIOTECHNOLOGY, INC.",47.42,6.166B,11.84%,961.276K,690.029K,788.304K,1.185M
"SSWAVDSHOCKWAVE MEDICAL, INC.",176.22,6.165B,90.04%,339.528K,380.129K,440.026K,426.855K
"SFIXDSTITCH FIX, INC.",57.94,6.162B,−15.44%,1.865M,1.778M,1.93M,2.293M
TFSLDTFS FINANCIAL CORPORATION,21.92,6.151B,2.19%,250.53K,235.197K,202.532K,275.045K
"MEDPDMEDPACE HOLDINGS, INC.",170.87,6.147B,13.75%,118.026K,192.368K,189.609K,200.401K
VVVDVALVOLINE INC.,33.81,6.122B,27.97%,858.039K,1.233M,1.249M,1.439M
CFXDCOLFAX CORPORATION,45.12,6.118B,−7.73%,1.332M,1.537M,1.604M,1.46M
"BWXTDBWX TECHNOLOGIES, INC.",64.14,6.102B,6.92%,243.352K,266.478K,296.263K,374.174K
EQTDEQT CORPORATION,21.84,6.096B,25.73%,3.696M,4.546M,4.454M,4.934M
"LLMNDDLEMONADE, INC.",99.01,6.08B,14.13%,2.101M,2.623M,2.416M,2.732M
LITEDLUMENTUM HOLDINGS INC.,80.05,6.076B,−3.45%,1.033M,1.721M,1.543M,1.622M
"CACIDCACI INTERNATIONAL, INC.",257.71,6.069B,17.91%,144.209K,174.946K,221.69K,222.078K
JBLUDJETBLUE AIRWAYS CORPORATION,19.16,6.067B,−6.35%,6.22M,6.224M,7.423M,8.21M
"OMCLDOMNICELL, INC.",140.23,6.057B,13.45%,224.935K,255.942K,346.619K,348.21K
"DCPDDCP MIDSTREAM, LP",29.02,6.047B,22.71%,622.585K,629.033K,718.406K,926.25K
RXNDREXNORD CORPORATION,50.39,6.033B,4.24%,604.784K,593.667K,584.973K,671.156K
BHVNDBIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,92.57,6.024B,16.82%,637.845K,533.667K,615.461K,585.028K
CCDCHEMOURS COMPANY (THE),36.38,6.022B,38.06%,1.145M,1.205M,1.33M,1.434M
"SSGFYDSIGNIFY HEALTH, INC.",26.68,6.02B,−2.13%,441.629K,428.571K,469.373K,—
"SLABDSILICON LABORATORIES, INC.",134.36,6.012B,−2.09%,237.099K,324.759K,313.51K,340.614K
PHIDPLDT INC. SPONSORED DR,28.03,6.01B,4.94%,46.949K,66.91K,86.412K,113.735K
"BLDBLACKLINE, INC.",103.07,5.983B,−0.59%,338.746K,413.876K,501.494K,651.495K
DADADDADA NEXUS LIMITED DR,25.74,5.981B,−12.57%,1.612M,1.271M,1.261M,1.365M
"VIRTDVIRTU FINANCIAL, INC.",31.49,5.976B,14.80%,1.449M,1.524M,1.39M,1.629M
"SHLXDSHELL MIDSTREAM PARTNERS, L.P.",15.09,5.935B,18.26%,1.629M,1.595M,1.442M,1.561M
"AAIDC3.AI, INC.",60.91,5.935B,−27.15%,4.82M,3.26M,3.786M,3.834M
TTIMBDTIM S.A. DR,12.46,5.925B,11.15%,283.202K,287.397K,363.904K,408.648K
"VVRMDVROOM, INC.",43.38,5.919B,31.14%,1.754M,2.436M,2.24M,2.781M
"CELHDCELSIUS HOLDINGS, INC.",81.94,5.913B,48.95%,1.18M,1.084M,1.078M,1.195M
"IIBRXDIMMUNITYBIO, INC.",15.4,5.912B,−45.54%,995.278K,1.181M,1.233M,1.303M
DQDDAQO NEW ENERGY CORP. DR,74.49,5.905B,3.40%,2.604M,2.195M,2.671M,2.734M
OOLODOLO INC.,41.94,5.904B,—,407.969K,409.921K,—,—
"NNCNODNCINO, INC.",61.79,5.897B,−1.37%,894.971K,1.001M,970.641K,1.05M
HHCDHOWARD HUGHES CORPORATION (THE),106.95,5.894B,11.63%,218.268K,196.061K,206.929K,243.428K
"CLGXDCORELOGIC, INC.",80,5.889B,−2.19%,1.109M,1.256M,1.094M,1.431M
HFCDHOLLYFRONTIER CORPORATION,36.16,5.874B,−11.00%,7.923M,4.193M,3.101M,2.841M
